Reference(s),Qty,Description,Part Number,Manufacturer,Digikey
"C1, C4, C5, C7, C8, C11, C12",7,CAP CER 0.1UF 6.3V X5R 0805,08056D104KAT2A,AVX Corporation,478-08056D104KAT2ACT-ND
"C2, C3, C17, C18",4,CAP CER 18PF 50V C0G/NPO 0805,CC0805JRNPO9BN180,Yageo,311-1102-1-ND
C6,1,"CAP ALUM, 10UF SMD",EDK106M035A9BAA,KEMET,399-14794-1-ND
"C9, C10",2,CAP CER 1UF 16V Y5V 0805,C0805C105Z4VACTU,KEMET,399-8011-1-ND
"C13, C14, C15, C16",4,CAP CER 22PF 50V C0G/NP0 0805,C0805C220J5GACTU,KEMET,399-1113-1-ND
"C19, C20",2,CAP CER 10UF,,,
"D1, D2, D3, D4",4,TVS DIODE 3.3VWM 11.5VC SOD923,ESD9B3.3ST5G,ON Semiconductor,ESD9B3.3ST5GOSCT-ND
F1,1,PTC RESET FUSE 8V 500MA 1206,0ZCJ0050FF2G,Bel Fuse Inc.,507-1802-1-ND
"J1, J2",2,CONN RCPT USB2.0 MICRO B SMD R/A,10103594-0001LF,,
"J3, J4",2,CONN RCPT USB2.0 TYPE A,62900416021,,
PWR1,1,LED BLUE CLEAR 0805 SMD,150080BS75000,Würth Elektronik,732-4982-1-ND
"R1, R2",2,"RES, 33OHM, 1%, 0805",RC0805FR-0733RL,Yageo,311-33.0CRCT-ND
"R3, R4",2,"RES, 2KOHM, 0805",RC0805JR-072KL,Yageo,311-2.0KARCT-ND
"R5, R6",2,RES SMD 56K OHM 1% 1/8W 0805,RC0805FR-0756KL,Yageo,311-56.0KCRCT-ND
R7,1,RES SMD 12K OHM 1% 1/8W 0805,RC0805FR-0712KL,Yageo,311-12.0KCRCT-ND
R8,1,RES SMD 10K OHM 1% 1/8W 0805,RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND
R9,1,RES SMD 1M OHM 1% 1/8W 0805,RC0805FR-071ML,Yageo,311-1.00MCRCT-ND
R10,1,RES SMD 1K OHM 1% 1/8W 0805,RC0805FR-071KL,Yageo,311-1.00KCRCT-ND
RN1,1,RES ARRAY 4 RES 22 OHM,CAT16-220J4LF,,
SW1,1,SWITCH TACTILE SPST-NO 50MA 12V,TL3305AF160QG,E-Switch,EG5350CT-ND
U1,1,MAX3421 USB HOST CNTRL 32TQFP,MAX3421EEHJ+T,Maxim Integrated, MAX3421EEHJ+TCT-ND
U2,1,IC BUFFER NON-INVERT 16SOIC,74HC4050,Toshiba Semiconductor and Storage,74HC4050DCT-ND
U3,1,IC REG LINEAR 3.3V 500MA SOT23-5,MIC5219-3.3YM5-TR,Microchip Technology,576-1281-1-ND
"U4, U5",2,IC MCU 8BIT 32KB FLASH 44TQFP,ATMEGA32U4-AUR,Microchip Technology,ATMEGA32U4-AURCT-ND
U6,1,IC HUB CTLR 4PORT USB 2.0 HS 36S,USB2514B-I/M2,Microchip Technology,USB2514B-I/M2-ND
X1,1,CRYSTAL 12.0000MHZ 12PF SMD,FA-238V 12.0000MB-W3,EPSON,SER3683CT-ND
"X2, X3",2,CRYSTAL 16.0000MHZ 9PF SMD,TSX-3225 16.0000MF09Z-AC0,EPSON,SER4069CT-ND
X4,1,CRYSTAL 24.0000MHZ 18PF SMD,TSX-3225 24.0000MF10Z-C3,EPSON,SER4373CT-ND
